,dataset_name,layer_precision,fc_output_dim,layer_granularity,calibration_type,aggregation,R@1
0,pitts30k,int8,2048,channel,percentile,mac,72.93133802816901
1,pitts30k,int8,2048,channel,minmax,mac,73.15140845070422
2,pitts30k,int8,2048,tensor,percentile,mac,72.79929577464789
3,pitts30k,int8,2048,tensor,minmax,mac,72.94600938967136
4,pitts30k,int8,512,channel,percentile,mac,66.63732394366197
5,pitts30k,int8,512,channel,minmax,mac,67.64964788732394
6,pitts30k,int8,512,tensor,percentile,mac,66.78403755868545
7,pitts30k,int8,512,tensor,minmax,mac,68.04577464788733
8,pitts30k,int8,4096,channel,percentile,mac,73.37147887323944
9,pitts30k,int8,4096,channel,minmax,mac,74.06103286384976
10,pitts30k,int8,4096,tensor,percentile,mac,71.77230046948357
11,pitts30k,int8,4096,tensor,minmax,mac,73.75293427230048
12,pitts30k,int8,1024,channel,percentile,mac,72.31514084507043
13,pitts30k,int8,1024,channel,minmax,mac,71.0093896713615
14,pitts30k,int8,1024,tensor,percentile,mac,71.47887323943662
15,pitts30k,int8,1024,tensor,minmax,mac,70.21713615023474
16,pitts30k,int4,2048,channel,percentile,mac,25.997652582159624
17,pitts30k,int4,2048,channel,minmax,mac,29.70950704225352
18,pitts30k,int4,2048,tensor,percentile,mac,23.048708920187792
19,pitts30k,int4,2048,tensor,minmax,mac,26.393779342723008
20,pitts30k,int4,512,channel,percentile,mac,22.960680751173708
21,pitts30k,int4,512,channel,minmax,mac,26.877934272300468
22,pitts30k,int4,512,tensor,percentile,mac,20.29049295774648
23,pitts30k,int4,512,tensor,minmax,mac,25.33744131455399
24,pitts30k,int4,4096,channel,percentile,mac,31.704812206572768
25,pitts30k,int4,4096,channel,minmax,mac,34.316314553990615
26,pitts30k,int4,4096,tensor,percentile,mac,18.23650234741784
27,pitts30k,int4,4096,tensor,minmax,mac,25.8656103286385
28,pitts30k,int4,1024,channel,percentile,mac,26.555164319248824
29,pitts30k,int4,1024,channel,minmax,mac,30.85387323943662
30,pitts30k,int4,1024,tensor,percentile,mac,25.42546948356808
31,pitts30k,int4,1024,tensor,minmax,mac,26.58450704225352
32,pitts30k,fp32,2048,channel,percentile,mac,73.92899061032864
33,pitts30k,fp32,2048,channel,minmax,mac,73.92899061032864
34,pitts30k,fp32,2048,tensor,percentile,mac,73.92899061032864
35,pitts30k,fp32,2048,tensor,minmax,mac,73.92899061032864
36,pitts30k,fp32,512,channel,percentile,mac,69.27816901408451
37,pitts30k,fp32,512,channel,minmax,mac,69.27816901408451
38,pitts30k,fp32,512,tensor,percentile,mac,69.27816901408451
39,pitts30k,fp32,512,tensor,minmax,mac,69.27816901408451
40,pitts30k,fp32,4096,channel,percentile,mac,73.8556338028169
41,pitts30k,fp32,4096,channel,minmax,mac,73.8556338028169
42,pitts30k,fp32,4096,tensor,percentile,mac,73.8556338028169
43,pitts30k,fp32,4096,tensor,minmax,mac,73.8556338028169
44,pitts30k,fp32,1024,channel,percentile,mac,73.16607981220658
45,pitts30k,fp32,1024,channel,minmax,mac,73.16607981220658
46,pitts30k,fp32,1024,tensor,percentile,mac,73.16607981220658
47,pitts30k,fp32,1024,tensor,minmax,mac,73.16607981220658
48,nordland,fp32,2048,channel,percentile,mac,22.397796462742825
49,nordland,fp32,2048,channel,minmax,mac,22.397796462742825
50,nordland,fp32,2048,tensor,percentile,mac,22.397796462742825
51,nordland,fp32,2048,tensor,minmax,mac,22.397796462742825
52,nordland,fp32,512,channel,percentile,mac,22.20571180052189
53,nordland,fp32,512,channel,minmax,mac,22.20571180052189
54,nordland,fp32,512,tensor,percentile,mac,22.20571180052189
55,nordland,fp32,512,tensor,minmax,mac,22.20571180052189
56,nordland,fp32,4096,channel,percentile,mac,29.65352276022035
57,nordland,fp32,4096,channel,minmax,mac,29.65352276022035
58,nordland,int4,512,channel,percentile,mac,2.9573789504204115
59,nordland,int4,512,channel,minmax,mac,3.888808350246448
60,nordland,int4,512,tensor,percentile,mac,0.5943751812119454
61,nordland,int4,512,tensor,minmax,mac,1.5221803421281532
62,nordland,int4,2048,channel,percentile,mac,2.1817918237170195
63,nordland,int4,2048,channel,minmax,mac,3.457523919976805
64,nordland,int4,2048,tensor,percentile,mac,0.732096259785445
65,nordland,int4,2048,tensor,minmax,mac,0.8951870107277472
66,nordland,int4,4096,channel,percentile,mac,3.145839373731516
67,nordland,int4,4096,channel,minmax,mac,4.671643954769499
68,nordland,int4,4096,tensor,percentile,mac,0.8082052768918527
0,nordland,int4,4096,tensor,minmax,mac,1.297477529718759
